response_to,user,timestamp,comment,likes,replies_attracted,channel
Foreigner Learns How to Speak with SINGAPOREAN Accent,mls,2 weeks ago,"I was worked at Singapore for 2 years, and now is working in HongKong.. and I got different the English word..in Javanese we call ""Medok"" the Singaporian English",0,,GC
Foreigner Learns How to Speak with SINGAPOREAN Accent,gwyneth chloe gilana,1 year ago,pls singaporeans keep the rule of english accents for the tourists ;-),1,View 5 replies from Georgia Caney and others,GC
Foreigner Learns How to Speak with SINGAPOREAN Accent,j45yip,9 months ago,Omg i would’ve had this accent if I stayed in Singapore in my childhood 😂😭,2,,GC
Foreigner Learns How to Speak with SINGAPOREAN Accent,Rainie Veronica,3 months ago,Hilariously accurate 😂,1,View reply from Georgia Caney,GC
Foreigner Learns How to Speak with SINGAPOREAN Accent,phucker tan,1 year ago,"HAHAHHAHAHHA as a Singaporean, i laughed my ass off",6,,GC
Foreigner Learns How to Speak with SINGAPOREAN Accent,Richard Han,5 months ago,i love u georgia. I'll fight ur husband for ur love,0,View reply from Georgia Caney,GC
Foreigner Learns How to Speak with SINGAPOREAN Accent,Firdaus Sudirman,6 months ago,I reckon it is absolutely hilarious!!!!,1,,GC
Foreigner Learns How to Speak with SINGAPOREAN Accent,YiYing Chang,5 months ago,The way you say it so cute 😂 I like it when you say it with expression,2,View reply from Georgia Caney,GC
Foreigner Learns How to Speak with SINGAPOREAN Accent,Kamuraze •,1 year ago,Love Georgina 😍,3,,GC
Foreigner Learns How to Speak with SINGAPOREAN Accent,Leone Light,1 year ago,"Gregory’s eyes
I can relate to that",3,View reply,GC
Foreigner Learns How to Speak with SINGAPOREAN Accent,foodmore,2 weeks ago,Lmao listening to her try both hurts my ears(because when people try and fail it sounds very weird) and makes me laugh too much,0,,GC
Foreigner Learns How to Speak with SINGAPOREAN Accent,Vinessa Chen,1 year ago,Haha. You sound French Georgia.....,3,View reply from Georgia Caney,GC
Foreigner Learns How to Speak with SINGAPOREAN Accent,Jpjanet76,1 year ago,why you so cute! <3,2,,GC
Foreigner Learns How to Speak with SINGAPOREAN Accent,Edgar Guzmán Moreno,1 year ago,So funny sia! Me laugh until BTH! 🤣🤣,1,View reply from Georgia Caney,GC
Foreigner Learns How to Speak with SINGAPOREAN Accent,Mauricio Cantón,2 months ago,"Jajaja great video

Congratulations",0,,GC
Foreigner Learns How to Speak with SINGAPOREAN Accent,Peter Gosm,6 months ago,"Haha I laughed watchning this video guys, thanks for that!!",1,View reply,GC
Foreigner Learns How to Speak with SINGAPOREAN Accent,Tresyia's Channel,8 months ago,This makes me afraid of learning in singapore,1,,GC
Foreigner Learns How to Speak with SINGAPOREAN Accent,Punz,1 year ago,"Hi Georgia, im Tresyia. Its nice to see your vlog, hope we can explore Singapore together oneday. I just moved in Singapore 3 months ago :)",0,View reply,GC
Foreigner Learns How to Speak with SINGAPOREAN Accent,rany tan,1 year ago,How do you spell Georgia in Singlish? :'( :P,0,,GC
Foreigner Learns How to Speak with SINGAPOREAN Accent,Paul Stiles,6 months ago,Omg this is so hilarious to watch!  😍😍,3,View reply,GC
Foreigner Learns How to Speak with SINGAPOREAN Accent,michtheotaku,1 year ago,"This video is brilliant Georgia, absolutely brilliant! 😂",2,,GC
Foreigner Learns How to Speak with SINGAPOREAN Accent,Vanissa Lee,1 year ago,"How you download ah?
Ey.. you how old sia.. you look like 10 year old eh..

The food very nice sia... can buy more anot?",0,View reply,GC
Foreigner Learns How to Speak with SINGAPOREAN Accent,Tommy Lam,1 year ago,Hahahaha hilarious! Love it,1,,GC
Foreigner Learns How to Speak with SINGAPOREAN Accent,karebu2,1 year ago,"Well done, u're learning how to speak broken English.....you're learning from someone who is uneducated ....how disgraceful!",0,View reply from Georgia Caney,GC
Foreigner Learns How to Speak with SINGAPOREAN Accent,cheryl,5 months ago,"‘Hor’ at the end of sentence can be regarded as tag question. This is dangerous, hor? > this is dangerous, isn’t it?",1,,GC
Foreigner Learns How to Speak with SINGAPOREAN Accent,PetraGreene,1 year ago,"i don't know if it's just my, but when Georgia was trying to pronounce ""How long can recover?"" She sounded Irish on ""reCOver"" sfjshwellh",0,View 2 replies from Georgia Caney and others,GC
Foreigner Learns How to Speak with SINGAPOREAN Accent,Ppoortatopoteto 456,1 year ago,Lol it's actually pretty good georgia! Especially for someone who isnt originally from south east asia.,3,,GC
Foreigner Learns How to Speak with SINGAPOREAN Accent,JLC Driveway Ramps,1 year ago (edited),"Learning Scottish accent is hard
U sound  like you are speaking in Cantonese",2,View reply from Georgia Caney,GC
Foreigner Learns How to Speak with SINGAPOREAN Accent,Zaxon,6 days ago,Hilarious watching such a true blue brit try singlish.  Good video !!,0,,GC
Foreigner Learns How to Speak with SINGAPOREAN Accent,Norain Binti Muhammad Sum,1 year ago,Lol HAHAHAHAHAHAHAH as a Singaporean watching this i find it very funny,1,View reply from Georgia Caney,GC
Foreigner Learns How to Speak with SINGAPOREAN Accent,49lumen,6 months ago,You’re so good! 👏🏻,1,,GC
Foreigner Learns How to Speak with SINGAPOREAN Accent,AL 2020,5 months ago,"Hi Georgia and Gregory, this is a funny video. I like it..",0,View reply from Georgia Caney,GC
Foreigner Learns How to Speak with SINGAPOREAN Accent,P SLIM,1 year ago,That was fun to watch. Good job! You and Gregory must do an Indian accent next.,1,,GC
Foreigner Learns How to Speak with SINGAPOREAN Accent,Simon T,1 year ago (edited),"I'm in $h!£ giggles at the moment about your attempt in 'Singlish' speaking, Georgia. 
Even I find 'Singlish' difficult to speak and understand - the locals also having trouble understanding my Kiwi slangs. 😅😅
But after being there for 3-4 years, Singlish starts to sink into me and feeling like the locals. 😬😅🤘🏼",2,View reply from Georgia Caney,GC
Foreigner Learns How to Speak with SINGAPOREAN Accent,Marc A,1 year ago (edited),"Seems like the other Singlish and English videos that you have made.  Maybe making mandarin, Malay or Tamil could give viewer a better understanding of the different races in SG",1,,GC
Foreigner Learns How to Speak with SINGAPOREAN Accent,Alice Then,1 year ago,😂 That was awesome Georgia. 👍👍👍,0,View 3 replies,GC
Foreigner Learns How to Speak with SINGAPOREAN Accent,Ben Haynes,6 months ago,HAHAHAHA DAMN I LOVE YOUR VIDEOS,0,,GC
Foreigner Learns How to Speak with SINGAPOREAN Accent,mischeivous gukk,6 months ago,"How you say very? I remember a little kopitiam in SG named ""Vary nice""! (hope you don't need to vary anything, lest you get confused with very)",0,View reply,GC
Foreigner Learns How to Speak with SINGAPOREAN Accent,hanrik tan,9 months ago,"My internet best friend is Singaporean and we called some times and she kept going. Phona. And I just laugh because of how cute  it is xD
It's been three years and im still confused when she talks xD",0,,GC
Foreigner Learns How to Speak with SINGAPOREAN Accent,Ryan Wong,1 year ago,"Singapore accent, just has to mix with one of the American  monotonous accent",4,View reply,GC
Foreigner Learns How to Speak with SINGAPOREAN Accent,일반인들의 적당히 잘하는 라이브,1 year ago,OMG you nail it! 😂 try to avoid any wanton mee stall if you can. You will slow down the cooking process. 😂😝😜,1,,GC
Foreigner Learns How to Speak with SINGAPOREAN Accent,Peter Khew,6 months ago,"더 푸드 베리 나이스야 ㅋㅋㅋㅋㅋㅋㅋ
the fud bery naiceya
it sounds like so korean in some way lol",0,View 5 replies,GC
Foreigner Learns How to Speak with SINGAPOREAN Accent,matthewong1953,6 months ago,"Dabao or makan? Means takeaway or having here. Makan is malay for ""eat"".",1,,GC
Foreigner Learns How to Speak with SINGAPOREAN Accent,Linus Lim,1 year ago,"Some of those old pre war houses with wooden windows and ceramic tiles that you liked so much are peranakan homes. You really should do a vlog on peranakan culture in Singapore from a Foreigner's perspective. Their home designs and styling, their food,  their clothing, their jewelry, and their superstitions and beliefs.",10,View 2 replies from Georgia Caney and others,GC
Foreigner Learns How to Speak with SINGAPOREAN Accent,Rabbitlim Yt fans,1 year ago,Sounds more like Thai/Vietnamese... ;(,0,,GC
Foreigner Learns How to Speak with SINGAPOREAN Accent,Kenny Tan,1 year ago,Wa I am also Singapore ah I tell you very amazing one sia,0,REGISTER,GC
Singapore Semi-Lockdown Diary Day 0 | Japanese Living in SG,,6 months ago,Even in Singapore now,1,View 4 replies,GO
Singapore Semi-Lockdown Diary Day 0 | Japanese Living in SG,Steezy -,6 months ago,That jipun lang lai liao caught me off guard😂,219,,GO
Singapore Semi-Lockdown Diary Day 0 | Japanese Living in SG,Moonbeam,6 months ago,"Huat ah, jippun lang lai liao.",51,View 6 replies,GO
Singapore Semi-Lockdown Diary Day 0 | Japanese Living in SG,louis lim,6 months ago,FINALLY UR JIPPUN LANG LAI LIAO INTRO IS BACK AND WITH A PERFECT PRONOUNCIATION..I CAN SLEEP WELL TODAY.,26,,GO
Singapore Semi-Lockdown Diary Day 0 | Japanese Living in SG,andrew peh,6 months ago,loved the intro - jipun lang liao liao!  Thanks for standing along with us in Singapore,100,View 13 replies,GO
Singapore Semi-Lockdown Diary Day 0 | Japanese Living in SG,Hikuro,6 months ago,Drink Plenty of water always stay hydrated and use hand sanitize.,7,,GO
Singapore Semi-Lockdown Diary Day 0 | Japanese Living in SG,Jessica Mong,6 months ago,Tell us about japanese urban legends or ghost stories etc.,90,View 3 replies,GO
Singapore Semi-Lockdown Diary Day 0 | Japanese Living in SG,Cheng Qiu Lin,6 months ago,"my like goes to ""huat ah, ji pun lang lia liao""",12,,GO
Singapore Semi-Lockdown Diary Day 0 | Japanese Living in SG,Gidiotic,5 months ago,"Wall: silence please
Ghib: plays guitar",3,View 3 replies,GO
Singapore Semi-Lockdown Diary Day 0 | Japanese Living in SG,Live till 100 William WK Tan,6 months ago,Suggestion 1: Do a compare n contrast of how Japan’s emergency versus Singapore’s circuit breaker!,47,,GO
Singapore Semi-Lockdown Diary Day 0 | Japanese Living in SG,のりっくNoric2020,6 months ago,お互い頑張ろう❗,5,View reply,GO
Singapore Semi-Lockdown Diary Day 0 | Japanese Living in SG,Eddie Tan,6 months ago (edited),"Ojisan, you need too wash the face mask before you use it lah. Alamak! Anyway, I love your video and hope to meet you out on the street one day.",11,,GO
Singapore Semi-Lockdown Diary Day 0 | Japanese Living in SG,Pretty Catmint,6 months ago,"Panic buying inconveniences everyone and puts immense strain on the supermarket workers. 
Stay positive, stay safe and keep the videos coming. Love all your videos.",28,View 2 replies,GO
Singapore Semi-Lockdown Diary Day 0 | Japanese Living in SG,rin rin,6 months ago,Talk about childhood memories in japan? 😍,5,,GO
Singapore Semi-Lockdown Diary Day 0 | Japanese Living in SG,chrissy ATC,6 months ago,"ghib hang in there💪
日本でも早く終息して欲しいです",12,View reply,GO
Singapore Semi-Lockdown Diary Day 0 | Japanese Living in SG,san Riku,6 months ago,屋内での撮影が多くなるなかでどんな企画をされるのか、めちゃくちゃ楽しみです‼️,7,,GO
Singapore Semi-Lockdown Diary Day 0 | Japanese Living in SG,森えま,6 months ago,"ジブおじ！元気にしてますね！よかった。
頑張ろね‼️",7,View reply,GO
Singapore Semi-Lockdown Diary Day 0 | Japanese Living in SG,mimosa Acacia,6 months ago,"緊急事態宣言だされました。動画みる限りSGとおんなじ感じになるのかな。
実は知らぬまにストレスたまっていてそこが恐い。だからジブおじの動画見る‼️",10,,GO
Singapore Semi-Lockdown Diary Day 0 | Japanese Living in SG,KYO TV,5 months ago,I am curious how do you feel living in a room painted in such a strong dark green colour ?,1,View 2 replies,GO
Singapore Semi-Lockdown Diary Day 0 | Japanese Living in SG,Jeff Jeff,6 months ago,"Tokyo and some other prefectures have declared State of Emergency. Tell us how is it like now there? For example, you can interview your friends,  relatives, etc.",24,,GO
Singapore Semi-Lockdown Diary Day 0 | Japanese Living in SG,Edwin,6 months ago,Suggestion: set up an EDMW account and do an ask-me-anything thread,9,View 2 replies,GO
Singapore Semi-Lockdown Diary Day 0 | Japanese Living in SG,chibineo,6 months ago,"アメリカでもう3週間近く引きこもってます。私もエクササイズ用にステッパー買いました。youtube見ながら運動できるのでw
テイクアウトやデリバリー出来るのはありがたいですよね。医療関係の方はもちろん、スーパーやレストラン、配達業のかた皆さんに感謝です。",4,,GO
Singapore Semi-Lockdown Diary Day 0 | Japanese Living in SG,opticalsoap,6 months ago,Love your greeting at the start of the video! haa,9,View reply,GO
Singapore Semi-Lockdown Diary Day 0 | Japanese Living in SG,Jen LL,6 months ago,"Hi Ghib, may be u can talk about some Japanese cultures, customs and traditions 😊",8,,GO
Singapore Semi-Lockdown Diary Day 0 | Japanese Living in SG,bz.,6 months ago (edited),"00:15, missed the coaster with the mug hahaha dk why i found that so funny


also, at 5:14 is that resident evil (?) i see??",0,View 2 replies,GO
Singapore Semi-Lockdown Diary Day 0 | Japanese Living in SG,GoldenMouse,6 months ago,"2:29 Kamen Ghib Raida! 
Henshin!",1,,GO
Singapore Semi-Lockdown Diary Day 0 | Japanese Living in SG,Asyraf Zakri,6 months ago,"Hey Ghib! Is your tee shirt a band tee shirt? Toe, a japanese post rock band",1,View 6 replies,GO
Singapore Semi-Lockdown Diary Day 0 | Japanese Living in SG,JY,6 months ago,Where did you get the phone anti bacterial spray? I want to get one too!,5,,GO
Singapore Semi-Lockdown Diary Day 0 | Japanese Living in SG,Spencer Ng,6 months ago,U might as well create a playlist for this lol,14,View reply,GO
Singapore Semi-Lockdown Diary Day 0 | Japanese Living in SG,Oceans of Dreamers,6 months ago,"Hey Ghib! Please do your opening in Cantonese! ""Fart Ah!!! Yat Pun Yan Lay Loh!""",1,,GO
Singapore Semi-Lockdown Diary Day 0 | Japanese Living in SG,Zeeruy,6 months ago,Glad that you're giving out positive vibes to everyone! Stay safe though! ^_^,5,DOWNLOAD,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,JelloG,9 months ago,Even I as a local haven't even been there 😂 I'm living the Singaporean life vicariously through you Senpai haha.,137,View 2 replies,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,Frederick Phua,9 months ago (edited),"Pulau Ubin would be a good place to see Kampongs. The residents may be more willing to chat with you and even invite you into their house. You are correct about the 4-digit postal code being used in the past. The street sign is really nostalgic. Sengkang and Punggol area used 1954, while Hougang used 1953.",111,,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,dyinganthem,9 months ago,Can we just hit pause for a second and ADMIRE THIS MAN'S SHIRT?!,177,View 2 replies,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,QzSG,9 months ago,At this point I declare you more Singaporean than more than 70% of the born here Singaporeans who have never been there or even know about this Kampung haha,58,,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,Vee Kwok,9 months ago,"Yes, Kampong Buangkok is one of the last remaining villages in Singapore, 50 years ago, many parts of the island had similar villages but on a much bigger scale. Then, the kampongs were self-contained,  with shops, restaurants, markets, cinemas, police station, post office and community centers. Some of the villagers were farmers, planting vegetables and fruit trees, and there are still pig farms and chicken farms. Now we can only have a glimpse of what Singapore was like by wandering around Kampong Buangkok or Pulau Ubin. Fascinating how Singapore had changed within the last 50 years.",51,View 3 replies from Ghib Ojisan and others,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,twinklestar,9 months ago,"I watch many vlogs but i must say i love japanese cover ones than korean ones. Japanese tend to be more respectful with their words and action. They compare but they dont really bring down the country image or people. But with korean vlogs, they tend to compare alot in such a way that it  sounded as if they look and talk down on the country they are in. And they talk with so much pride as if they are above in status as koreans. It can be seen as offensive. If they have so much pride of their country, why do they need to seek livelihood in other people country? The fact that they do that means, opportunities are not vast or their country doesnt create that environment. Anyway great job for the exploration!",38,,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,persianOUTKAST,9 months ago,"@4:14 ... 
correct, that's Arabic.
 in Arabic  ٱلل‍َّٰه = Allāh = the Arabic word for God",23,View 5 replies,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,Muhammad Khairi,9 months ago,"We swapped from 4 digit postal codes to 6 digits in 1995! 

When I was a kid growing up in Yishun in the 90s, the postal code was 2775 :)",41,,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,SeriouSyrius,9 months ago (edited),"Great video yet again! I bet many of us Singaporean have yet to visit this nostalgic village.


There are a few ideas I have on mind that you can consider exploring",53,View 2 replies,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,sdq sdq,9 months ago,"As we speak, condo developers , eyeing those lands  ,lol",17,,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,tamarazi,9 months ago,"Holy shit, the first when i see the road, the vibe completely changed",22,View 5 replies from Ghib Ojisan and others,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,paecpc,9 months ago,"I’m impressed you have done quite a bit of homework in the area, to be honest, I am surprised such place still exist, Singapore used to have such kampung all around the island till late 1970s. I’m also surprised our government has left such place untouched. Another place quite similar to such kampung is on the Pulau Ubin Island, there is a beautiful quarry that you can explore.",16,,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,UNAMED90,9 months ago,4:18 in written in Arabic means Allah God,9,View 3 replies from Ghib Ojisan and others,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,るんちゃん・ Rumi ・,9 months ago,"シンガポールに開発されてない小さな村が。
昔のシンガポールはこんな感じだったのですね。
緑も多くてのんびりしてる感じがします。",7,,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,Florence Leow,9 months ago (edited),"Ghibli Ojisan! 🙏Thank You for the video of Kampong Lorong Buangkok.✌🌿 

●When I was a child, from 1965 to 1969 Dec, my family lived at Jalan Ampas, off Balestier Road. It was a small kampung behind Shaw Theatre. The kampung is now gone but the Jalan and Lorong Ampas names remain:)) ",18,View 3 replies,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,linY Taf,9 months ago,"I m a singaporean but I have never been to places that you vlog in SG, it is interesting & I like your T-shirt 👍🏻",6,,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,hanrik tan,9 months ago,"i must say, u sure give a very details on Singapore...",11,View 7 replies from Ghib Ojisan and others,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,CY Hen,9 months ago,I would really love to show him around Pulau Ubin!,5,,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,tic tac,9 months ago,シンガポール最後のカンポンとは貴重な場所ですねー。昔はブキティマ周辺にも同様の集落が点在していたはずですが、今や跡形もなく開発されてしまいました・・・。かつて住んでいた家の正面にもカンポンが広がっており、そこに生えているランブータンの木から実を採ってもらったり、我が家のゲートをくぐって庭に入って来るニワトリを追い回して遊ぶのが日常でした。家事を手伝ってもらっていたメイドさんもそのカンポン住まいで、木がうっそうと茂った森の中を手を引かれ、映像にもあったようなトタン屋根を葺いた家に連れて行ってもらい、そこで昼食をご馳走になったりしていました。。私の幼少期の終わりと共になくなった古き良きシンガポールです。,3,View 6 replies,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,cowism,9 months ago,Heh. Can you please review Singapore's only onsen at Sembawang Hot Spring Park? 🤪,8,,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,オランウータン,9 months ago,有名な観光地以外でも素敵な場所が沢山ありますね😊,5,View 2 replies from Ghib Ojisan and others,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,VeritasEtLux,9 months ago,"As a next stop, you can try and visit the Japanese Cemetery in Singapore! It houses graves of Japanese soldiers who occupied Singapore during world war 2, with some significant high ranking generals as there as well.",7,,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,Thomas Lee,9 months ago (edited),10:50 I was thinking maybe you'll go and buy a coconut or sugarcane drink at a hawker centre after that haha,4,View reply,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,Rewtrash,9 months ago,"Ojisan, i found your videos about a week ago, and i've been following them. your content is more entertaining than singapore youtubers! keep it up!",6,,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,ZeRusty Knife,9 months ago,You should come to Celebfest at Suntec City Convention Centre Level 4! Theres tons of great food. Its going on from 20 December to 22 December,1,View reply from Ghib Ojisan,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,Lucy Ho,8 months ago,Great exploration.Reminds me of my childhood days when I lived in kampong.Just like walking down nostalgic memory lanes.Thanx!!👍✌🤗,2,,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,Sabre Cruz,9 months ago,"Keep it coming Bro!
Love your down to Earth commentary.",2,View 4 replies from Ghib Ojisan and others,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,Joe Kidal,9 months ago,8:58... the frangipani flowers. According to folk beliefs the tree of frangipani flowers are where vampires usually like to hang around. If you ever smell the scent of those flowers its best to just ignore and keep quiet and not to comment about the smell or otherwise the creature will follow you home.,8,,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,Wak Kinem,9 months ago,"Another amazing video from Oji San. I've known the existence of this village but have not visited it, not even once, but you have! Awesome!",5,View 2 replies from Ghib Ojisan and others,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,Richelle Gan,9 months ago,"Love your content! Did you know that somewhere near Hougang, along Philips Avenue, there is a quaint Japanese Memorial cemetery park? You may want to check it out! Instagrammers (for some reason) love to go there to do photoshoots.. because when you go there during certain times of the year, the flowers blook really prettily! ☺️",4,,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,Bob K,9 months ago,The alternative name for the village as shown in the signboard is Kampung Selak Kain which is a big LOL. It literally means The Village of Skirt Lifting. Kinky!,1,View 2 replies from Ghib Ojisan and others,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,hanrik tan,9 months ago,Sg postal code used to be 2 digit:),1,,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,W Y,9 months ago,なんかコンテンツに一貫性が出て来てチャンネルに艶がでてきましたね,2,View reply,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,max y,9 months ago,"シンガポールにも村があるんですね！！
勉強になる～！

ジブリおじさんからジブおじさんに変わってるの今、気づきました😮！",8,,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,City K.,6 months ago,4:18 That building is the mosque. The word written in Arabic is Allah,0,View reply from Ghib Ojisan,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,rei,9 months ago,"近くは通った事があり、行ってみたいと思っていました。
今のシンガポールも素敵ですが、私は2〜30年前のちょっとノスタルジックなシンガポールが良かった。",3,,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,Jimmy Neutron,9 months ago,"Hey, you should try to go Pulau Ubin.",2,View 5 replies from Ghib Ojisan and others,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,HighMACS Gallagher,9 months ago,こういうのとても興味あります。いつも楽しい動画をありがとー♪,2,,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,Shigeki Nakayama 中山繁樹,9 months ago,シンガポールにもあるんですねー,2,View reply,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,potatojam,6 months ago,"I just stumbled upon your video in the recent week! I have been there a few times as a youth, and there used to be a provision shop and the kampong was a lot livelier than what it is right now. It feels like a ghost town compared to what I remember 15 years back...",1,,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,Zhong Lin,9 months ago,i been there many years ago. you really exploring Sg that many locals don't.,2,View 2 replies from Ghib Ojisan and others,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,YH,6 months ago,omg its so near my house haaha,0,,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,real cartoon girl,9 months ago,i don't even know these place existed,3,View reply,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,Drayziex,9 months ago,Ii havent been here either,0,,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,Quah Doreen,8 months ago,"This is a very interesting and well documented series, good job! You might want to check out a locally produced series along this line called  Streets of memory.",1,View 2 replies,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,おいもも,9 months ago,ほんとに鳥の声綺麗ですね✨,2,,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,Zhong Lin,9 months ago,your t-shirt very interesting. hahaha...,0,View reply from Ghib Ojisan,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,ᄇᄅᄒGALAXY,9 months ago,そのTシャツ良いですね！！！,1,,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,黙れ小僧,9 months ago,めっちゃ雰囲気いい！,1,View reply from Ghib Ojisan,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,SHOKO SHOKO,9 months ago,凄いとこ行きましたねー！驚き‼️ジブオジなんか馴染んでる,1,,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,ゆらゆら,9 months ago,シンガポールフードシャツ良いですね,1,View 4 replies from Ghib Ojisan and others,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,SHOW,9 months ago,シンガポールスタイルで村歩き地元民のようで違和感なし❗,1,,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,pig pig,9 months ago,Wow i(local) didnt even know there is a surviving kampong in SG! Most urual area I know is Pulau Ubin...,7,View reply,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,Zerovalk The Techgamer,3 months ago,"Nice to learn about this although I'm Singaporean, thanks! Might have driven by a few times but never took time go check out inside the kampung area",0,,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,Marcus Ong,8 months ago,Hey! That's super nearby my mom's place!,0,View 2 replies from Ghib Ojisan and others,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,yukiko sg,9 months ago,こんなところがあるんですね！昔の東南アジアの雰囲気が残ったままでいい感じですね。おもしろい！,5,,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,Claudia,9 months ago,Woah as a singaporean first time i saw hahaha,2,View 2 replies,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,chintahaida mohamed,9 months ago,Thats kampung is my late  grandparents kampung we all miss the old time when we small....😭😭😭😭😭😭,0,,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,Windsor Lim,9 months ago,U can try the ruin village at thomson nature park... or the forest covered and destroyed shinto temple inside macritchie ..,0,View reply,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,chrissy ATC,9 months ago,良いT-シャツですね！,1,,GO
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok,Judy Tong,9 months ago (edited),Thank you for taking me to Buangkok.  Never been to that part of Singapore before.,1,REGISTER,GO
Japanese Reviews Singapore's UNI Restaurant | Uni Gallery,Eline Goh,7 months ago,"Wow..you have constantly been invited to especially Japanese Restaurants in SG to review their food. You're getting more and more famous now, congrats.",58,View 4 replies from Ghib Ojisan and others,GO
Japanese Reviews Singapore's UNI Restaurant | Uni Gallery,ernest tan,7 months ago,ghib living the life in singapore,53,,GO
Japanese Reviews Singapore's UNI Restaurant | Uni Gallery,alexbacks,7 months ago,1:13  日本人 「築地から？」 ＳＧ人「今は豊洲だよ」で草,20,View 2 replies from Ghib Ojisan and others,GO
Japanese Reviews Singapore's UNI Restaurant | Uni Gallery,運値0,7 months ago,日本人が見ても偽物感が無く、ちゃんとしているお店ですね。オリジナル料理も正当に味の追求をしている印象を受けました。クオリティーが値段に比例していると思う。生の海産物は好き嫌いが分かれるかもしれないけど、特別な日に誰かを誘って食べに行くのに丁度良さそうですね。,23,,GO
Japanese Reviews Singapore's UNI Restaurant | Uni Gallery,Chang SL,7 months ago,The food looks heavenly.... once a life time experience....,30,View 9 replies from Ghib Ojisan and others,GO
